,district,school,primary_job,fte,salary,certificate,subcategory,teaching_route,highly_qualified,experience_district,experience_nj,experience_total
28975,93,787,0,1.0,56000,5,2,1,5,0.0,0.0,0.0
28979,93,787,0,1.0,65250,5,2,1,5,10.0,10.0,10.0
28980,93,787,0,1.0,51000,5,2,1,5,4.0,4.0,4.0
28981,93,787,0,1.0,83950,5,2,1,5,18.0,18.0,18.0
28982,93,787,0,1.0,50500,5,2,1,5,2.0,2.0,2.0
28983,93,787,0,1.0,53750,5,2,1,5,3.0,6.0,6.0
29061,174,586,0,1.0,62283,5,2,1,3,4.0,4.0,4.0
29062,174,586,2,0.3,17852,5,4,1,3,3.0,10.0,10.0
29123,86,292,2,1.0,57000,5,4,1,3,1.0,15.0,15.0
29166,174,586,0,1.0,55984,5,4,1,4,0.0,5.0,5.0
29196,180,47,2,1.0,95200,5,2,1,0,3.0,3.0,3.0
29239,180,591,2,1.0,94275,5,4,1,0,6.0,22.0,22.0
29245,180,591,2,1.0,68175,5,4,1,0,2.0,2.0,2.0
29266,180,254,2,1.0,57950,5,4,1,0,2.0,2.0,2.0
29301,178,600,4,1.0,63322,5,2,1,4,14.0,14.0,14.0
29340,178,303,4,1.0,99900,5,2,1,5,31.0,31.0,31.0
29345,180,140,0,1.0,50500,5,2,1,5,1.0,1.0,1.0
29346,180,140,0,1.0,66350,5,2,1,5,15.0,16.0,16.0
29383,180,140,0,1.0,51700,5,2,1,5,3.0,3.0,3.0
29384,180,140,0,1.0,59275,5,2,1,5,3.0,3.0,3.0
29386,180,140,0,1.0,18500,1,2,1,5,0.0,0.0,0.0
29388,180,140,0,1.0,52200,5,2,1,5,6.0,6.0,6.0
29390,180,140,0,1.0,89450,5,2,1,5,32.0,32.0,32.0
29391,180,140,0,1.0,50500,1,2,1,5,1.0,1.0,1.0
29393,180,140,0,1.0,63150,5,2,1,5,8.0,9.0,9.0
29394,180,140,0,1.0,66350,5,4,1,5,9.0,11.0,11.0
29400,180,140,0,1.0,62425,5,2,1,5,11.0,11.0,11.0
29401,180,140,0,1.0,64300,5,2,1,5,11.0,11.0,11.0
29404,180,140,0,1.0,67250,5,2,1,5,12.0,12.0,12.0
29405,180,140,0,1.0,59225,5,2,1,5,12.0,12.0,12.0
29407,180,140,0,1.0,69330,5,2,1,5,13.0,14.0,14.0
29408,180,140,0,1.0,67505,5,2,1,5,13.0,13.0,13.0
29411,180,140,0,1.0,53185,5,2,1,5,6.0,6.0,6.0
29413,180,140,0,1.0,55350,5,2,1,5,3.0,3.0,3.0
29414,180,140,0,1.0,50900,5,2,1,5,7.0,7.0,7.0
29415,180,140,0,1.0,55350,5,2,1,5,4.0,4.0,4.0
29416,180,140,0,1.0,56125,1,2,1,5,2.0,2.0,2.0
29420,178,303,0,1.0,64737,5,2,1,5,13.0,13.0,13.0
29422,178,303,4,1.0,85763,5,2,1,5,16.0,16.0,16.0
29434,178,303,0,1.0,63245,5,2,1,5,12.0,12.0,12.0
29449,178,303,4,1.0,84385,5,2,1,5,26.0,26.0,26.0
29463,178,303,0,1.0,49476,5,2,1,5,2.0,2.0,2.0
29464,178,303,0,1.0,69881,5,2,1,5,15.0,15.0,15.0
29473,178,1078,4,1.0,91267,5,2,1,5,19.0,19.0,19.0
29487,178,1078,0,1.0,75313,5,2,1,5,17.0,17.0,17.0
29488,178,600,2,1.0,95353,5,4,1,5,24.0,24.0,24.0
29499,180,47,2,1.0,67250,5,4,1,0,2.0,2.0,2.0
29506,180,268,0,1.0,58075,5,2,1,5,8.0,8.0,8.0
29508,180,268,0,1.0,59225,5,2,1,5,9.0,9.0,9.0
29509,180,268,0,1.0,56125,5,4,1,5,4.0,4.0,4.0
29510,180,475,0,1.0,78500,5,2,1,5,14.0,15.0,15.0
29517,180,594,0,1.0,59225,5,2,1,5,9.0,9.0,9.0
29518,180,601,0,1.0,89450,5,2,1,5,17.0,17.0,17.0
29519,180,801,0,1.0,18500,1,2,1,5,4.0,4.0,4.0
29520,180,801,0,1.0,91875,5,2,1,5,18.0,18.0,18.0
29521,180,801,0,1.0,82425,5,2,1,5,15.0,15.0,15.0
29522,180,801,0,1.0,50000,1,2,1,5,2.0,2.0,2.0
29523,180,801,0,1.0,52925,5,2,1,5,1.0,1.0,1.0
29524,180,801,0,1.0,50500,5,2,1,5,1.0,1.0,1.0
29525,180,801,0,1.0,51500,1,4,1,5,0.0,0.0,0.0
29527,180,801,0,1.0,55610,5,4,1,5,5.0,5.0,5.0
29528,180,801,0,1.0,50000,5,4,1,5,0.0,0.0,0.0
29532,180,801,0,1.0,60375,5,2,1,5,14.0,14.0,14.0
29533,180,801,0,1.0,93375,5,2,1,5,17.0,17.0,17.0
29535,180,801,0,1.0,93375,5,2,1,5,20.0,20.0,20.0
29536,180,801,0,1.0,70400,5,2,1,5,9.0,14.0,14.0
29540,180,801,0,1.0,66475,5,2,1,5,14.0,14.0,14.0
29541,180,801,0,1.0,63580,5,2,1,5,13.0,13.0,13.0
29542,180,801,0,1.0,91875,5,2,1,5,16.0,17.0,17.0
29543,180,801,0,1.0,89450,5,2,1,5,17.0,17.0,17.0
29544,180,801,0,1.0,84250,5,2,1,5,15.0,15.0,15.0
29545,180,801,0,1.0,55625,5,2,1,5,6.0,6.0,6.0
29549,180,801,0,1.0,56125,5,2,1,5,2.0,2.0,2.0
29551,180,601,0,1.0,51700,5,2,1,5,4.0,4.0,4.0
29552,180,601,0,1.0,56125,5,2,1,5,4.0,4.0,4.0
29555,180,601,0,1.0,66350,5,2,1,5,12.0,12.0,12.0
29556,180,601,0,1.0,78500,5,2,1,5,16.0,16.0,16.0
29557,180,601,0,1.0,93375,5,2,1,5,17.0,17.0,17.0
29558,180,601,0,1.0,83325,5,2,1,5,14.0,16.0,16.0
29559,180,601,0,1.0,57110,4,2,1,5,6.0,6.0,6.0
29560,180,601,0,1.0,53700,5,2,1,5,8.0,8.0,8.0
29563,180,594,0,1.0,62000,5,2,1,5,4.0,4.0,4.0
29567,180,594,0,1.0,89450,5,2,1,5,15.0,17.0,17.0
29568,180,594,0,1.0,89450,5,2,1,5,12.0,19.0,19.0
29569,180,594,0,1.0,70400,5,2,1,5,14.0,14.0,14.0
29570,180,594,0,1.0,53185,5,2,0,5,15.0,15.0,15.0
29571,180,594,0,1.0,69330,5,2,1,5,13.0,13.0,13.0
29572,180,594,0,1.0,70400,5,2,1,5,14.0,14.0,14.0
29603,180,475,0,1.0,52200,5,2,1,5,2.0,2.0,2.0
